"","2-E1","2-E2","2-E3","2T1","2T6","3-E3","3-E4","3-E5","3T5","4-E3","4-E4","4-E5","4-E6","4T3","4T5","5-E4","5-E5","5-E6","5T4","8-E1","8-E5","8T1","8T5","EE2","EE3","ET3","ET4","ET6","GE1","GE4","GE6","GT1","GT2","HE3","HE4","HE6","HT3","HT4","HT5","IE2","IE6","IT1","IT2","IT3","IT5","IT6","JE6","JE6-1","JT4","KE2","KE3","KE5","KE6","KT2","KT5","LE4","LE5","LT2","LT5","ME4","MT1","MT4","MT5","UE3","UE3-1","UE6","UT2","UT4","UT6","WE2","WT6"
"Seq 84",0,0,0,0,601,0,0,0,34,0,2,0,0,0,0,0,0,0,0,0,0,0,0,329,133,0,0,0,0,72,0,0,0,0,0,50,0,0,0,0,0,147,0,0,6,420,0,0,303,50,150,0,0,358,0,0,0,0,685,0,0,0,39,0,0,0,0,0,555,0,0
"Seq 85",0,0,0,0,0,0,0,0,0,0,0,0,259,0,0,0,0,0,142,0,0,0,0,0,32,0,0,0,0,273,192,0,0,0,0,215,0,0,0,0,0,0,296,428,0,311,0,0,564,104,762,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,269,0,0,0
"Seq 86",0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,71,0,2149,0,0,33,0,0,0,301,113,0,0,0,0,0,0,0,0,0,0,334,0,119,0,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,228,41,83,115,0,0,0,0,0,0
"Seq 87",0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,68,0,2044,0,0,50,0,0,0,335,88,0,0,0,0,0,28,0,0,0,0,270,0,133,0,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,251,27,113,109,0,0,0,0,0,0
"Seq 88",0,0,0,0,3359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,29,259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Seq 89",1546,0,0,0,628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199,0,0,0,54,0,0,35,273,0,0,0,56,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,135,0,0,402,213,0,0
"Seq 90",0,0,390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,3110,0,0,0,0,0,0,0,0,0,0
"Seq 91",0,0,0,0,0,0,0,0,69,0,0,0,0,0,115,0,0,0,59,0,0,0,0,2996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,154,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Seq 92",0,2505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
"Seq 93",0,0,0,0,359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,91,0,0,0,0,43,0,0,0,0,0,28,0,0,0,0,0,144,0,0,0,630,0,0,225,42,95,0,0,253,0,0,0,0,893,0,0,0,41,0,0,0,0,0,383,0,0
